Order ID,Assigned Plant,Origin Port,Assigned Carrier,Manufacturing Day,Total Cost ($)
1447125805,PLANT03,PORT04,V444_0,Day 1,171.36
1447132025,PLANT03,PORT04,V444_0,Day 1,34119.36
1447133054,PLANT03,PORT04,V444_0,Day 1,232.16
1447133164,PLANT03,PORT04,V444_0,Day 1,396.47
1447133209,PLANT03,PORT04,V444_0,Day 1,46177.13
1447133210,PLANT03,PORT04,V444_0,Day 1,15273.75
1447133211,PLANT03,PORT04,V444_0,Day 1,51440.89
1447133212,PLANT03,PORT04,V444_0,Day 1,51434.52
1447133213,PLANT03,PORT04,V444_0,Day 1,5336.73
1447133214,PLANT03,PORT04,V444_0,Day 1,586.65
1447133242,PLANT03,PORT04,V444_0,Day 1,575.47
1447133248,PLANT03,PORT04,V444_0,Day 1,220.52
1447133256,PLANT03,PORT04,V444_0,Day 1,527.78
1447133258,PLANT03,PORT04,V444_0,Day 1,211.46
1447133267,PLANT03,PORT04,V444_0,Day 1,247.69
1447133755,PLANT03,PORT04,V444_0,Day 1,6420.67
1447133756,PLANT03,PORT04,V444_0,Day 1,2543.45
1447133757,PLANT03,PORT04,V444_0,Day 1,1765.9
1447133758,PLANT03,PORT04,V444_0,Day 1,11426.43
1447135386,PLANT07,PORT02,V444_5,Day 1,491.43
1447135953,PLANT03,PORT04,V444_0,Day 1,25795.83
1447135962,PLANT03,PORT04,V444_0,Day 1,194.64
1447136117,PLANT03,PORT04,V444_0,Day 1,1446.35
1447136686,PLANT03,PORT04,V444_0,Day 1,302.67
1447137091,PLANT03,PORT04,V444_0,Day 1,1716.09
1447137127,PLANT03,PORT04,V444_0,Day 1,2079.54
1447137128,PLANT03,PORT04,V444_0,Day 1,864.66
1447137142,PLANT03,PORT04,V444_0,Day 1,2031.35
1447137143,PLANT03,PORT04,V444_0,Day 1,1323.3
1447137152,PLANT04,PORT05,V444_5,Day 1,253.54
1447137153,PLANT04,PORT05,V444_5,Day 1,258.9
1447137154,PLANT04,PORT05,V444_5,Day 1,253.54
1447137155,PLANT04,PORT05,V444_5,Day 1,243.36
1447137156,PLANT04,PORT05,V444_5,Day 1,274.96
1447137157,PLANT04,PORT05,V444_5,Day 1,700.25
1447137158,PLANT04,PORT05,V444_5,Day 1,192.48
1447137159,PLANT04,PORT05,V444_5,Day 1,189.26
1447137160,PLANT04,PORT05,V444_5,Day 1,196.23
1447137161,PLANT04,PORT05,V444_5,Day 1,220.33
1447137162,PLANT04,PORT05,V444_5,Day 1,195.69
1447137163,PLANT04,PORT05,V444_5,Day 1,197.83
1447137164,PLANT04,PORT05,V444_5,Day 1,205.87
1447137165,PLANT04,PORT05,V444_5,Day 1,228.9
1447137166,PLANT04,PORT05,V444_5,Day 1,197.3
1447137167,PLANT04,PORT05,V444_5,Day 1,228.37
1447137208,PLANT03,PORT04,V444_0,Day 1,287.15
1447137209,PLANT03,PORT04,V444_0,Day 1,674.65
1447137210,PLANT03,PORT04,V444_0,Day 1,390.0
1447137214,PLANT03,PORT04,V444_0,Day 1,188.82
1447137215,PLANT03,PORT04,V444_0,Day 1,179.76
1447137216,PLANT03,PORT04,V444_0,Day 1,335.01
1447137219,PLANT03,PORT04,V444_0,Day 1,213.4
1447137220,PLANT03,PORT04,V444_0,Day 1,349.89
1447137221,PLANT03,PORT04,V444_0,Day 1,723.79
1447137228,PLANT05,PORT06,V444_4,Day 1,544.43
