Order ID,Assigned Plant,Origin Port,Assigned Carrier,Manufacturing Day,Total Cost ($)
1447125805,PLANT03,PORT04,V444_0,Day 2,237.08
1447132025,PLANT03,PORT04,V444_0,Day 3,27495.48
1447133054,PLANT03,PORT04,V444_0,Day 2,285.73
1447133164,PLANT03,PORT04,V444_0,Day 2,417.17
1447133209,PLANT03,PORT04,V444_0,Day 2,37041.71
1447133210,PLANT03,PORT04,V444_0,Day 2,12319.0
1447133211,PLANT03,PORT04,V444_0,Day 2,41252.71
1447133212,PLANT03,PORT04,V444_0,Day 2,41247.62
1447133213,PLANT03,PORT04,V444_0,Day 2,4369.38
1447133214,PLANT03,PORT04,V444_0,Day 2,569.32
1447133242,PLANT03,PORT04,V444_0,Day 2,560.37
1447133248,PLANT03,PORT04,V444_0,Day 2,276.41
1447133256,PLANT03,PORT04,V444_0,Day 2,522.23
1447133258,PLANT03,PORT04,V444_0,Day 2,269.17
1447133267,PLANT03,PORT04,V444_0,Day 2,298.15
1447133755,PLANT03,PORT04,V444_0,Day 2,5236.53
1447133756,PLANT03,PORT04,V444_0,Day 2,2134.76
1447133757,PLANT03,PORT04,V444_0,Day 2,1512.72
1447133758,PLANT03,PORT04,V444_0,Day 2,9241.14
1447135386,PLANT07,PORT02,V444_5,Day 1,393.14
1447135953,PLANT03,PORT04,V444_0,Day 2,20736.67
1447135962,PLANT03,PORT04,V444_0,Day 2,255.71
1447136117,PLANT03,PORT04,V444_0,Day 2,1257.08
1447136686,PLANT03,PORT04,V444_0,Day 2,342.14
1447137091,PLANT03,PORT04,V444_0,Day 2,1472.87
1447137127,PLANT03,PORT04,V444_0,Day 2,1763.63
1447137128,PLANT03,PORT04,V444_0,Day 2,791.73
1447137142,PLANT03,PORT04,V444_0,Day 2,1725.08
1447137143,PLANT03,PORT04,V444_0,Day 2,1158.64
1447137152,PLANT04,PORT05,V444_5,Day 1,202.83
1447137153,PLANT04,PORT05,V444_5,Day 1,207.12
1447137154,PLANT04,PORT05,V444_5,Day 1,202.83
1447137155,PLANT04,PORT05,V444_5,Day 1,194.69
1447137156,PLANT04,PORT05,V444_5,Day 1,219.97
1447137157,PLANT04,PORT05,V444_5,Day 1,560.2
1447137158,PLANT04,PORT05,V444_5,Day 1,153.98
1447137159,PLANT04,PORT05,V444_5,Day 1,151.41
1447137160,PLANT04,PORT05,V444_5,Day 1,156.98
1447137161,PLANT04,PORT05,V444_5,Day 1,176.26
1447137162,PLANT04,PORT05,V444_5,Day 1,156.55
